NO OK;SALES;TOKO;ALAMAT;DAERAH;PROGRAM;VB ONLINE;BIAYA;TANGGAL
;;ELCO 1;;Jakarta;VB ONLINE;vb;Rp900.000;01-Jan-2020
;;ELCO 2;;Jakarta;VB ONLINE;vb;Rp900.000;01-Jan-2020
;;NIAGA GOMBONG PASAR 1;PASAR WONOKRIYO DIREJO, GOMBONG;Gombong;VB ONLINE;NAGATECH MEMBER SOLUTION;Rp300.000;01-Jan-2020
;;NIAGA GOMBONG PASAR 2;PASAR WONOKRIYO DIREJO, GOMBONG;Gombong;VB ONLINE;NAGATECH MEMBER SOLUTION;Rp300.000;01-Jan-2020
;;NIAGA GOMBONG PUSAT;JL. YOS SUDARSO NO. 331, GOMBONG;Gombong;VB ONLINE;NAGATECH MEMBER SOLUTION;Rp300.000;01-Jan-2020
;;AN AN;JL. LAPANG BOLA NO. 57, CILEDUG - CIREBON;Ciledug;VB ONLINE;;Rp900.000;01-Jan-2020
;;AN AN EXTERNAL;;Ciledug;EXTERNAL;;Rp500.000;01-Jan-2020
;;COMPLETE MULIA;;Cirebon;EXTERNAL;;Rp500.000;10-Dec-2020
;;COMPLETE MULIA;;Cirebon;VB ONLINE;;Rp900.000;10-Dec-2020
;;KENCANA PUTERA;;Jombang;ONLINE SHOP VB ONLINE;olshop vb;Rp500.000;21-Apr-2020
;;AMG CATALOGUE;;;CATALOGUE;;Rp2.500.000;28-Nov-2020
;;HIDUP APK;;Tegal;APK;;Rp500.000;24-Dec-2020
;;AMG CLOUD;;Magelang;NAGATECH MANUFACTURE STORE SOLUTION;;Rp2.500.000;28-Mar-2021
;;SAHABAT;;Surabaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;07-Apr-2021
;;KOTA MAS;;Medan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;29-Jun-2021
;;SATELIT;;Sukoharjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;08-Jul-2021
;;PUTERA GOLD;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;14-Jul-2021
;;SUMBAR RIAU;;Depok;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;05-Aug-2021
;;LESTARI;;Banjarmasin;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;26-Aug-2021
;;KENANGA;;Tasikmalaya;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;21-Sep-2021
;;SUMBER URIP;;Tuban;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Sep-2021
;;CIPUTAT JAYA;;Tangerang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Oct-2021
;;KRESNO BANJARAN;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2021
;;KRESNO EXT PUSAT;;Tegal;EXTERNAL;;Rp500.000;25-Oct-2021
;;KRESNO EXTERNAL;;Tegal;EXTERNAL;;Rp500.000;25-Oct-2021
;;KRESNO PAGONGAN;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2021
;;KRESNO PREMIUM;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2021
;;KRESNO PUSAT;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2021
;;KRESNO TEGAL;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;25-Oct-2021
;;MACAN KUNINGAN;;Kuningan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;03-Nov-2021
;;GALLERY SILVER;;Jogja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;11-Nov-2021
;;SYAM GOLD;;Pekanbaru;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Nov-2021
;;AYU GROSIR;;Surabaya;NAGATECH GROCERY STORE SOLUTION;;Rp2.500.000;23-Nov-2021
;;PANTES KTJ;;Kutoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;24-Nov-2021
;;PANTES KTJ EKSTERNAL;;Kutoarjo;EXTERNAL;;Rp500.000;24-Nov-2021
;;GALLERY SILVER;;Jogja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;26-Nov-2021
;;INTI MULIA;;Medan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;07-Dec-2021
;;GALLERY SILVER;;Jogja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;09-Dec-2021
;;POHON KELAPA;;Salatiga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Dec-2021
;;GALLERY SILVER;;Jogja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Dec-2021
;;OMEGA;;Madiun;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;03-Jan-2022
;;GALLERY SILVER;;Jogja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;12-Jan-2022
;;INTI MULIA EKSTERNAL;;Medan;EXTERNAL;;Rp500.000;24-Jan-2022
;;KRESNO GOLD A YANI PASAR;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;24-Jan-2022
;;AGUNG;;Cikarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;28-Jan-2022
;;AGUNG PUTRA CKR 1;;Cikarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;29-Jan-2022
;;SAMBAS PURWOREJO 1;;Purworejo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Jan-2022
;;SAMBAS PURWOREJO 2;;Purworejo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;26-Jan-2022
;;SAMBAS PURWOREJO 3;;Purworejo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;30-Jan-2022
;;SAMBAS PURWOREJO PUSAT;;Purworejo;NAGATECH GOLD STORE HQ SOLUTION;;Rp1.000.000;26-Jan-2022
;;CANTIK 1;;Ciledug;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Feb-2022
;;SIBAH;;Cikarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Feb-2022
;;BENUA JAYA DUTA MAS;;Tangerang;NAGATECH GOLD STORE HQ SOLUTION;;Rp900.000;12-Feb-2022
;;ARJUNA PUTRA JTB 1;;Jatibarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;20-Feb-2022
;;ONTA;;Jepara;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;23-Feb-2022
;;MONICA;;Semarang;NAGATECH GROCERY STORE SOLUTION;;Rp1.000.000;23-Feb-2022
;;SUKA INDAH JKT;;Jakarta;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;03-Mar-2022
;;PUTRI BEKASI;;Bekasi;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Mar-2022
;;ANNI SEGAMAS;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;06-Mar-2022
;;RAMA SAKTI CAB PWT;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;06-Mar-2022
;;ARJUNA PUTRA JTB 2;;Jatibarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;08-Mar-2022
;;UTAMI 1;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;10-Mar-2022
;;UTAMI 2;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;11-Mar-2022
;;UTAMI 3;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;12-Mar-2022
;;ANNI KARANGKOBAR;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Mar-2022
;;ANNI KUTASARI;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;15-Mar-2022
;;ANNI MOGA;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;17-Mar-2022
;;ANNI KEJOBONG;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Mar-2022
;;ANNI SINDURAJA;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Mar-2022
;;INTERNATIONAL JEWELRY;;Jakarta;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;24-Mar-2022
;;UTAMI 4;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;26-Mar-2022
;;NY OERIP MUDA 3;;Tuban;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Mar-2022
;;HIDUP LM;;Tegal;TRADING;;Rp900.000;30-Mar-2022
;;NY OERIP MUDA 1;;Tuban;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;31-Mar-2022
;;NY OERIP MUDA 2;;Tuban;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;31-Mar-2022
;;BAGONG SEJATI;;Cilacap;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;02-Apr-2022
;;KINGKONG;;Ciwidey;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;16-Apr-2022
;;PELANGI;;Medan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Apr-2022
;;HIDUP AHMAD YANI;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;14-May-2022
;;HIDUP SA BERLIAN;;;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;11-May-2022
;;SAMBAS EYANG;;Bobotsari;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-May-2022
;;SAMBAS MULYA;;Bobotsari;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-May-2022
;;SAMBAS BELIK 1;;Belik;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-May-2022
;;SAMBAS BELIK 2;;Warungpring;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-May-2022
;;SAMBAS BUKATEJA;;Bukateja;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-May-2022
;;SAMBAS KARANGMONCOL;;Karangmoncol;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-May-2022
;;MURAH HATI;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;28-May-2022
;;SINANJUNG JAYA 1;;Jakarta;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;01-Jun-2022
;;RAMA SAKTI CAB AJIBARANG;;Banjarnegara;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;07-Jun-2022
;;LCV;;Sandai;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;23-Jun-2022
;;DAMAI;;Probolinggo;NAGATECH GROCERY STORE SOLUTION;;Rp2.500.000;23-Jun-2022
;;BENUA JAYA PUSAT;;Tangerang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;25-Jun-2022
;;BARES 2;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;06-Jul-2022
;;GAJAH SAKTI JATINANGOR;;Bandung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;11-Jul-2022
;;MATAHARI TERBIT;;Bandung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;11-Jul-2022
;;PANTES CSB VDC;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;11-Jul-2022
;;RAJAWALI PREMIUM 1;;Brebes;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;14-Jul-2022
;;RAJAWALI PREMIUM 2;;Brebes;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;14-Jul-2022
;;ITALIA MEDAN;;Medan;TRADING;;Rp1.500.000;17-Jul-2022
;;CANTIK 2;;Ciledug;NAGATECH GOLD STORE SOLUTION LITE WEB BASED;;Rp800.000;28-Jul-2022
;;BARES 1;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED ;;Rp900.000;01-Aug-2022
;;PANTES CSB;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;02-Aug-2022
;;PANTES GCM;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;03-Aug-2022
;;DEWI BANJARAN;;Bandung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;04-Aug-2022
;;DEWI GOLD;;Ponorogo;VB ONLINE;;Rp800.000;04-Aug-2022
;;DEWI GOLD;;Ponorogo;VB ONLINE;;Rp800.000;04-Aug-2022
;;DEWI GOLD;;Ponorogo;VB ONLINE;;Rp800.000;04-Aug-2022
;;ANNI BOJONG;;Purbalingga;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Aug-2022
;;MURNI BANYUWANGI;;Banyuwangi;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;10-Aug-2022
;;HERMAN JEWELRY;;Jakarta;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH DIAMOND SOLUTION;;Rp900.000;11-Aug-2022
;;KERBAU CAB BATANG;;Weleri;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;14-Aug-2022
;;KERBAU CAB BATANG;;Weleri;JEWELRY CARE;;Rp500.000;14-Aug-2022
;;MURNI CIKARANG;;Cikarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;15-Aug-2022
;;SAKURA;;Bandung;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;18-Aug-2022
;;MACAN SIDOARJO - GAJAH MADA;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Aug-2022
;;MACAN SIDOARJO - PUSAT;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Aug-2022
;;MACAN SIDOARJO - PUSAT;;Sidoarjo;RECEIVING SYSTEM;;Rp500.000;20-Aug-2022
;;MACAN SIDOARJO - PUSAT;;Sidoarjo;JEWELRY CARE;;Rp500.000;20-Aug-2022
;;MACAN SIDOARJO - PUSAT;;Sidoarjo;LEDGER;;Rp500.000;20-Aug-2022
;;MACAN SIDOARJO - PUSAT;;Sidoarjo;NAGATECH GOLD STORE HQ SOLUTION;;Rp225.000;20-Aug-2022
;;GUCI;;Kendal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;22-Aug-2022
;;BARES EXTERNAL;;Muntilan;EXTERNAL;;Rp500.000;23-Aug-2022
;;BARES PUSAT;;Muntilan;NAGATECH GOLD STORE HQ SOLUTION;;Rp500.000;23-Aug-2022
;;BARES PUSAT LEDGER;;Muntilan;LEDGER;;Rp500.000;23-Aug-2022
;;BARES 3;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;25-Aug-2022
;;MACAN SIDOARJO - SUNCITY MALL;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;26-Aug-2022
;;MACAN SIDOARJO - ONLINE;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Aug-2022
;;MACAN SIDOARJO - PLAZA;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Aug-2022
;;SEMAR GOLD 1;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;29-Aug-2022
;;PANTES GMC;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;02-Sep-2022
;;PANTES PGC;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;03-Sep-2022
;;HIDUP PATI;;Pati;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;05-Sep-2022
;;PANTES KNG 1;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Sep-2022
;;PANTES KNG 2;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;05-Sep-2022
;;PANTES SDL;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;07-Sep-2022
;;PANTES KGR;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;08-Sep-2022
;;PANTES PERUM;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;09-Sep-2022
;;PANTES KTG;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;12-Sep-2022
;;HIDUP SLAWI;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;13-Sep-2022
;;PANTES INDRAMAYU;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;13-Sep-2022
;;HIDUP PAGONGAN;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Sep-2022
;;SEMBADA GOLD JEND SUDIRMAN;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;20-Sep-2022
;;BUNGA TANJUNG 1;;Semarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-Sep-2022
;;SEMAR GOLD 2;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-Sep-2022
;;SEMBADA GOLD PS WAGE;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;22-Sep-2022
;;BINTANG SURYA MEDAN;;Medan;NAGATECH GROCERY STORE SOLUTION;;Rp1.500.000;26-Sep-2022
;;SEMBADA GOLD RITTA MALL;;Purwokerto;JEWELRY CARE;;Rp400.000;27-Sep-2022
;;SEMBADA GOLD RITTA MALL;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;27-Sep-2022
;;ARTA ANUGERAH;;Pekalongan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;28-Sep-2022
